week_start,primary_tag_l1,rank_share,rank_share_7d,heat_share,title_count
2026-04-28,乡村/现实,0.19591836734693877,0.19591836734693877,0.19545583633680266,1.0
2026-04-28,其他,0.0,0.0,0.0,0.0
2026-04-28,古风/古代,0.0,0.0,0.0,0.0
2026-04-28,奇幻/系统,0.19795918367346937,0.19795918367346937,0.19772791816840132,1.0
2026-04-28,家庭/亲情,0.2,0.2,0.2,1.0
2026-04-28,现代情感,0.0,0.0,0.0,0.0
2026-04-28,穿越/重生,0.20204081632653062,0.20204081632653062,0.20227208183159867,1.0
2026-04-28,豪门/总裁,0.20408163265306123,0.20408163265306123,0.20454416366319733,1.0
2026-04-28,逆袭/爽文,0.0,0.0,0.0,0.0
2026-05-05,乡村/现实,0.08396501457725947,0.15593502707205328,0.08376756106174929,0.42857142857142855
2026-05-05,其他,0.0,0.0,0.0,0.0
2026-05-05,古风/古代,0.0,0.0,0.0,0.0
2026-05-05,奇幻/系统,0.19795918367346937,0.19795918367346937,0.1976012248075314,1.0
2026-05-05,家庭/亲情,0.2,0.2,0.19987041701216363,1.0
2026-05-05,现代情感,0.0,0.0,0.0,0.0
2026-05-05,穿越/重生,0.3139941690962099,0.24202415660141607,0.3143519956971277,1.5714285714285714
2026-05-05,豪门/总裁,0.20408163265306123,0.20408163265306123,0.204408801421428,1.0
2026-05-05,逆袭/爽文,0.0,0.0,0.0,0.0
2026-05-12,乡村/现实,0.0,0.02798833819241982,0.0,0.0
2026-05-12,其他,0.0,0.0,0.0,0.0
2026-05-12,古风/古代,0.0,0.0,0.0,0.0
2026-05-12,奇幻/系统,0.1979591836734694,0.1979591836734694,0.19750651703633595,1.0
2026-05-12,家庭/亲情,0.20000000000000004,0.20000000000000004,0.199773319730576,1.0
2026-05-12,现代情感,0.0,0.0,0.0,0.0
2026-05-12,穿越/重生,0.39795918367346933,0.3699708454810495,0.39841323811403195,2.0
2026-05-12,豪门/总裁,0.20408163265306123,0.20408163265306123,0.20430692511905604,1.0
2026-05-12,逆袭/爽文,0.0,0.0,0.0,0.0
