snapshot_date,total_rank_score,new_title_rank_score,total_title_count,new_title_count,new_title_rank_share,new_title_count_share,new_title_rank_share_7d
2026-05-01,490,490,5,5,1.0,1.0,1.0
2026-05-02,490,490,5,5,1.0,1.0,1.0
2026-05-03,490,490,5,5,1.0,1.0,1.0
2026-05-04,490,490,5,5,1.0,1.0,1.0
2026-05-05,490,490,5,5,1.0,1.0,1.0
2026-05-06,490,490,5,5,1.0,1.0,1.0
2026-05-07,490,490,5,5,1.0,1.0,1.0
2026-05-08,490,96,5,1,0.19591836734693877,0.2,0.885131195335277
2026-05-09,490,96,5,1,0.19591836734693877,0.2,0.770262390670554
2026-05-10,490,96,5,1,0.19591836734693877,0.2,0.6553935860058309
2026-05-11,490,96,5,1,0.19591836734693877,0.2,0.5405247813411079
2026-05-12,490,96,5,1,0.19591836734693877,0.2,0.42565597667638483
2026-05-13,490,96,5,1,0.19591836734693877,0.2,0.3107871720116618
2026-05-14,490,96,5,1,0.19591836734693877,0.2,0.19591836734693877
